Rk,Conf,Div,W,L,W_percentage,Unadjusted_MOV,Unadjusted_ORtg,Unadjusted_DRtg,Unadjusted_NRtg,Adjusted_MOV,Adjusted_ORtg,Adjusted_DRtg,Adjusted_NRtg,Season,Team
23,E,C,33,49,0.402,-3.29,104.95,108.52,-3.56,-3.86,104.92,109.07,-4.16,2014,Cleveland Cavaliers
6,E,C,53,29,0.646,4.48,111.93,107.13,4.8,4.08,111.97,107.58,4.39,2015,Cleveland Cavaliers
4,E,C,57,25,0.695,5.99,111.8,105.32,6.48,5.44,111.75,105.85,5.9,2016,Cleveland Cavaliers
7,E,C,51,31,0.622,3.18,114.25,110.99,3.27,2.88,114.33,111.38,2.95,2017,Cleveland Cavaliers
14,E,C,50,32,0.61,0.94,113.58,112.56,1.02,0.59,113.61,112.94,0.67,2018,Cleveland Cavaliers
4,W,M,53,29,0.646,4.28,108,103.36,4.63,4.6,108.07,103.07,4.99,2001,Dallas Mavericks
4,W,M,57,25,0.695,4.26,112.8,108.22,4.59,4.41,112.91,108.13,4.78,2002,Dallas Mavericks
1,W,M,60,22,0.732,7.78,111.43,102.89,8.54,7.91,111.52,102.85,8.67,2003,Dallas Mavericks
6,W,M,52,30,0.634,4.44,113.01,108.1,4.92,4.86,113.3,107.92,5.37,2004,Dallas Mavericks
3,W,SW,58,24,0.707,5.74,111.32,104.88,6.44,5.85,111.3,104.76,6.55,2005,Dallas Mavericks
3,W,SW,60,22,0.732,6.07,112.87,105.73,7.14,5.96,113.06,106.07,6.99,2006,Dallas Mavericks
2,W,SW,67,15,0.817,7.22,112.32,104.12,8.2,7.28,112.23,103.98,8.25,2007,Dallas Mavericks
9,W,SW,51,31,0.622,4.54,111.9,106.82,5.08,4.7,112.02,106.77,5.25,2008,Dallas Mavericks
11,W,SW,50,32,0.61,1.98,111.2,109.14,2.06,1.68,111.03,109.29,1.74,2009,Dallas Mavericks
12,W,SW,55,27,0.671,2.72,110,107.17,2.84,2.67,109.88,107.09,2.79,2010,Dallas Mavericks
8,W,SW,57,25,0.695,4.23,110.24,105.76,4.49,4.41,110.08,105.4,4.68,2011,Dallas Mavericks
14,W,SW,36,30,0.545,0.95,104.08,103.01,1.07,1.78,104.04,102.07,1.97,2012,Dallas Mavericks
15,W,SW,41,41,0.5,-0.6,106.66,107.14,-0.48,-0.24,106.74,106.82,-0.09,2013,Dallas Mavericks
9,W,SW,49,33,0.598,2.4,111.95,109.24,2.71,2.9,112.16,108.95,3.21,2014,Dallas Mavericks
9,W,SW,50,32,0.61,2.9,110.3,107.14,3.16,3.36,110.51,106.87,3.64,2015,Dallas Mavericks
16,W,SW,42,40,0.512,-0.3,107.29,107.48,-0.19,-0.02,107.24,107.13,0.11,2016,Dallas Mavericks
23,W,SW,33,49,0.402,-2.93,106.28,109.36,-3.08,-2.52,106.31,108.96,-2.65,2017,Dallas Mavericks
22,W,SW,24,58,0.293,-3.04,106.92,110,-3.08,-2.7,106.96,109.7,-2.74,2018,Dallas Mavericks
19,W,M,40,42,0.488,-2.46,104.26,107.03,-2.77,-1.83,104.5,106.57,-2.07,2001,Denver Nuggets
27,W,M,27,55,0.329,-5.82,102.34,108.68,-6.35,-5.19,102.44,108.08,-5.64,2002,Denver Nuggets
28,W,M,17,65,0.207,-8.28,93.2,102.26,-9.06,-7.41,93.22,101.33,-8.11,2003,Denver Nuggets
11,W,M,43,39,0.524,1.07,104.61,103.73,0.88,1.65,104.66,103.13,1.52,2004,Denver Nuggets
10,W,NW,49,33,0.598,2.02,106.6,104.67,1.93,2.22,106.49,104.34,2.15,2005,Denver Nuggets
15,W,NW,44,38,0.537,0.23,106.16,106.01,0.15,0.36,106.22,105.94,0.28,2006,Denver Nuggets
9,W,NW,45,37,0.549,1.62,108.12,106.51,1.62,1.69,107.95,106.24,1.7,2007,Denver Nuggets
11,W,NW,50,32,0.61,3.71,110.46,106.95,3.51,3.74,110.48,106.93,3.55,2008,Denver Nuggets
8,W,NW,54,28,0.659,3.41,111.03,107.68,3.35,3.13,110.83,107.78,3.05,2009,Denver Nuggets
8,W,NW,53,29,0.646,4.09,112.32,108.21,4.11,4.15,112.26,108.06,4.2,2010,Denver Nuggets
7,W,NW,50,32,0.61,4.76,112.84,108.03,4.82,4.81,112.73,107.84,4.89,2011,Denver Nuggets
6,W,NW,38,28,0.576,2.88,109.95,106.97,2.99,3.16,109.94,106.63,3.31,2012,Denver Nuggets
5,W,NW,57,25,0.695,5.09,111.23,105.97,5.26,5.37,111.34,105.76,5.58,2013,Denver Nuggets
19,W,NW,36,46,0.439,-2.15,106.59,108.79,-2.2,-1.4,106.75,108.17,-1.43,2014,Denver Nuggets
21,W,NW,30,52,0.366,-3.55,105.11,108.68,-3.57,-3.07,105.16,108.22,-3.07,2015,Denver Nuggets
22,W,NW,33,49,0.402,-3.1,106.22,109.47,-3.25,-2.81,106.24,109.17,-2.94,2016,Denver Nuggets
13,W,NW,40,42,0.488,0.51,113.9,113.43,0.47,0.7,114.06,113.39,0.67,2017,Denver Nuggets
11,W,NW,46,36,36,1.48,113.02,111.4,1.62,1.57,113.21,111.5,1.71,2018,Denver Nuggets
20,E,C,32,50,0.39,-1.7,100.61,102.41,-1.79,-2.08,100.46,102.69,-2.23,2001,Detroit Pistons
10,E,C,50,32,0.61,2.13,105.77,103.43,2.33,1.69,105.63,103.8,1.83,2002,Detroit Pistons
5,E,C,50,32,0.61,3.68,104.84,100.71,4.14,2.98,104.48,101.11,3.36,2003,Detroit Pistons
4,E,C,54,28,0.659,5.84,103.18,96.48,6.7,5.04,102.81,97.01,5.81,2004,Detroit Pistons
6,E,C,54,28,0.659,3.87,106.49,102.07,4.42,3.31,106.19,102.38,3.81,2005,Detroit Pistons
2,E,C,64,18,0.78,6.67,111.59,103.9,7.69,6.23,111.35,104.15,7.2,2006,Detroit Pistons
6,E,C,53,29,0.646,4.16,109.8,104.87,4.93,3.68,109.72,105.33,4.39,2007,Detroit Pistons
3,E,C,59,23,0.72,7.39,112.09,103.64,8.45,6.67,111.76,104.09,7.66,2008,Detroit Pistons
17,E,C,39,43,0.476,-0.49,108.21,108.79,-0.58,-0.36,108.34,108.78,-0.44,2009,Detroit Pistons
27,E,C,27,55,0.329,-5.11,106.6,112.41,-5.82,-5.02,106.78,112.48,-5.7,2010,Detroit Pistons
23,E,C,30,52,0.366,-3.6,108.37,112.5,-4.13,-3.78,108.65,112.98,-4.33,2011,Detroit Pistons
27,E,C,25,41,0.379,-4.79,102.13,107.48,-5.35,-5.18,102.33,108.11,-5.78,2012,Detroit Pistons
26,E,C,29,53,0.354,-3.99,104.57,109.03,-4.46,-4.32,104.56,109.37,-4.82,2013,Detroit Pistons
24,E,C,29,53,0.354,-3.66,106.6,110.51,-3.92,-4.14,106.66,111.07,-4.41,2014,Detroit Pistons
20,E,C,32,50,0.39,-1,106.22,107.35,-1.14,-1.39,106.23,107.77,-1.54,2015,Detroit Pistons
14,E,C,44,38,0.537,0.61,106.78,106.19,0.59,0.43,106.88,106.48,0.4,2016,Detroit Pistons
21,E,C,37,45,0.451,-1.12,106.53,107.9,-1.37,-1.29,106.39,107.93,-1.54,2017,Detroit Pistons
19,E,C,39,43,0.476,-0.15,107.95,108.14,-0.19,-0.26,107.84,108.14,-0.3,2018,Detroit Pistons
28,W,P,17,65,0.207,-9.05,98.41,108.09,-9.68,-8.11,98.68,107.34,-8.65,2001,Golden State Warriors
26,W,P,21,61,0.256,-5.4,103.56,109.28,-5.71,-4.8,103.7,108.74,-5.04,2002,Golden State Warriors
18,W,P,38,44,0.463,-1.13,109.01,110.1,-1.09,-0.59,109.45,109.96,-0.51,2003,Golden State Warriors
14,W,P,37,45,0.451,-0.73,103.71,104.54,-0.83,-0.07,103.8,103.91,-0.1,2004,Golden State Warriors
20,W,P,34,48,0.415,-2.16,105.24,107.71,-2.46,-1.74,105.22,107.24,-2.01,2005,Golden State Warriors
16,W,P,34,48,0.415,-1.35,105.36,106.79,-1.44,-1.11,105.55,106.74,-1.18,2006,Golden State Warriors
13,W,P,42,40,0.512,-0.34,107.62,107.84,-0.22,-0.01,107.61,107.48,0.14,2007,Golden State Warriors
13,W,P,48,34,0.585,2.21,112.46,110.24,2.22,2.38,112.59,110.19,2.39,2008,Golden State Warriors
24,W,P,29,53,0.354,-3.74,109.94,113.76,-3.82,-3.8,109.98,113.86,-3.89,2009,Golden State Warriors
22,W,P,26,56,0.317,-3.6,108.7,112.31,-3.61,-3.28,108.77,112.05,-3.28,2010,Golden State Warriors
21,W,P,36,46,0.439,-2.33,108.96,111.39,-2.43,-2,109,111.08,-2.08,2011,Golden State Warriors
22,W,P,23,43,0.348,-3.41,105.97,109.66,-3.69,-2.79,106,109.01,-3.01,2012,Golden State Warriors
11,W,P,47,35,0.573,0.89,107.1,106.04,1.06,1.32,107.13,105.61,1.52,2013,Golden State Warriors
4,W,P,51,31,0.622,4.8,108.05,103.07,4.98,5.15,107.93,102.59,5.34,2014,Golden State Warriors
1,W,P,67,15,0.817,10.1,112.18,101.86,10.32,10.01,111.9,101.67,10.23,2015,Golden State Warriors
2,W,P,73,9,0.89,10.76,115.18,104.32,10.86,10.38,115.01,104.53,10.49,2016,Golden State Warriors
1,W,P,67,15,0.817,11.63,116.26,104.57,11.69,11.35,116.02,104.61,11.41,2017,Golden State Warriors
3,W,P,58,24,0.707,5.98,114.31,108.43,5.88,5.79,114.33,108.62,5.7,2018,Golden State Warriors
9,W,M,45,37,0.549,2.29,107.6,105.02,2.58,2.71,107.75,104.71,3.04,2001,Houston Rockets
25,W,M,28,54,0.341,-4.89,103.93,109.55,-5.62,-4.31,104.08,109.03,-4.95,2002,Houston Rockets
11,W,M,43,39,0.524,1.48,104.96,103.5,1.46,1.89,105.07,103.14,1.93,2003,Houston Rockets
9,W,M,45,37,0.549,1.73,101.8,99.87,1.93,2.28,101.65,99.13,2.52,2004,Houston Rockets
5,W,SW,51,31,0.622,4.04,107.03,102.57,4.46,4.26,106.85,102.15,4.7,2005,Houston Rockets
19,W,SW,34,48,0.415,-1.59,102.41,104.42,-2.02,-1.31,102.5,104.2,-1.7,2006,Houston Rockets
4,W,SW,52,30,0.634,4.85,106.64,101.31,5.33,5.04,106.43,100.9,5.53,2007,Houston Rockets
7,W,SW,55,27,0.671,4.68,107.47,102.17,5.3,4.83,107.3,101.85,5.45,2008,Houston Rockets
6,W,SW,53,29,0.646,4,109.22,104.67,4.55,3.73,108.94,104.69,4.25,2009,Houston Rockets
16,W,SW,42,40,0.512,-0.37,108.37,108.79,-0.42,-0.01,108.4,108.45,-0.04,2010,Houston Rockets
11,W,SW,43,39,0.524,2.18,112.02,109.67,2.35,2.37,112.07,109.51,2.56,2011,Houston Rockets
16,W,SW,34,32,0.515,0.23,106.42,106.11,0.31,0.57,106.27,105.58,0.69,2012,Houston Rockets
8,W,SW,45,37,0.549,3.48,110.42,106.67,3.75,3.69,110.51,106.52,3.99,2013,Houston Rockets
5,W,SW,54,28,0.659,4.56,111.72,107.07,4.65,5.06,111.82,106.65,5.17,2014,Houston Rockets
7,W,SW,56,26,0.683,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01,2015,Houston Rockets
15,W,SW,41,41,0.5,0.2,109.23,109.1,0.13,0.34,109.26,108.96,0.3,2016,Houston Rockets
3,W,SW,55,27,0.671,5.77,115.59,109.96,5.63,5.84,115.7,109.98,5.72,2017,Houston Rockets
1,W,SW,65,17,0.793,8.48,115.48,106.84,8.64,8.21,115.45,107.08,8.37,2018,Houston Rockets
18,E,C,41,41,0.5,-0.2,102.91,103.09,-0.18,-0.77,102.69,103.51,-0.82,2001,Indiana Pacers
15,E,C,42,40,0.512,0.27,105.09,104.59,0.5,-0.07,105.08,104.98,0.1,2002,Indiana Pacers
8,E,C,48,34,0.585,3.49,105.28,101.55,3.74,2.79,104.96,101.98,2.98,2003,Indiana Pacers
5,E,C,61,21,0.744,5.76,104.77,98.16,6.61,4.93,104.47,98.77,5.7,2004,Indiana Pacers
13,E,C,44,38,0.537,0.76,106.46,105.55,0.91,0.49,106.47,105.85,0.62,2005,Indiana Pacers
10,E,C,41,41,0.5,1.89,105.3,103,2.3,1.62,104.91,102.9,2.01,2006,Indiana Pacers
20,E,C,35,47,0.427,-2.44,103.7,106.21,-2.51,-2.62,103.72,106.44,-2.72,2007,Indiana Pacers
18,E,C,36,46,0.439,-1.4,106.69,108.2,-1.51,-1.86,106.47,108.47,-2,2008,Indiana Pacers
18,E,C,36,46,0.439,-1.11,108.76,109.88,-1.12,-0.76,109.13,109.86,-0.73,2009,Indiana Pacers
21,E,C,32,50,0.39,-3.01,104.6,107.64,-3.04,-3.1,104.58,107.73,-3.14,2010,Indiana Pacers
19,E,C,37,45,0.451,-1.07,105.53,106.73,-1.2,-1.37,105.54,107.07,-1.53,2011,Indiana Pacers
8,E,C,42,24,0.636,3.3,107.63,103.94,3.69,2.59,107.68,104.77,2.91,2012,Indiana Pacers
9,E,C,49,32,0.605,4.02,104.87,100.54,4.33,3.34,104.48,100.89,3.59,2013,Indiana Pacers
8,E,C,56,26,0.683,4.4,104.7,100.05,4.65,3.63,104.25,100.42,3.83,2014,Indiana Pacers
16,E,C,38,44,0.463,0.28,104.44,104.04,0.4,-0.22,104.34,104.48,-0.14,2015,Indiana Pacers
11,E,C,45,37,0.549,1.71,105.28,103.51,1.77,1.62,105.26,103.58,1.68,2016,Indiana Pacers
18,E,C,42,40,0.512,-0.22,109.33,109.49,-0.16,-0.64,109.21,109.81,-0.6,2017,Indiana Pacers
13,E,C,48,34,0.585,1.38,110.24,108.8,1.44,1.18,110.17,108.94,1.24,2018,Indiana Pacers
21,W,P,31,51,0.378,-2.89,102.25,105.42,-3.17,-2.23,102.41,104.86,-2.45,2001,Los Angeles Clippers
16,W,P,39,43,0.476,-0.46,106.49,106.87,-0.38,-0.09,106.51,106.47,0.05,2002,Los Angeles Clippers
23,W,P,27,55,0.329,-4.12,103,107.51,-4.51,-3.44,103.3,107.07,-3.77,2003,Los Angeles Clippers
25,W,P,28,54,0.341,-4.59,104.3,109.4,-5.1,-3.74,104.63,108.81,-4.18,2004,Los Angeles Clippers
16,W,P,37,45,0.451,-0.77,106.76,107.5,-0.74,-0.47,106.78,107.2,-0.43,2005,Los Angeles Clippers
9,W,P,47,35,0.573,1.57,106.09,104.24,1.85,1.75,106.11,104.08,2.03,2006,Los Angeles Clippers
14,W,P,40,42,0.488,-0.46,105.9,106.55,-0.65,-0.07,105.91,106.14,-0.22,2007,Los Angeles Clippers
27,W,P,23,59,0.28,-7.27,101.63,109.76,-8.14,-6.56,101.66,109.05,-7.38,2008,Los Angeles Clippers
30,W,P,19,63,0.232,-8.77,102.87,112.52,-9.65,-8.46,102.84,112.16,-9.31,2009,Los Angeles Clippers
28,W,P,29,53,0.354,-6.35,104.07,111.02,-6.95,-6.01,104.04,110.61,-6.57,2010,Los Angeles Clippers
22,W,P,32,50,0.39,-3.13,106.24,109.78,-3.54,-2.71,106.23,109.31,-3.08,2011,Los Angeles Clippers
