Team,year,Distance,Frequency
Miami Heat,2016,Over 16 ft,0.182
Miami Heat,2016,3P Corner,0.082212
Miami Heat,2016,3P Top,0.138788
Miami Heat,2017,0-3 ft,0.29
Miami Heat,2017,3-10 ft,0.169
Miami Heat,2017,10-16 ft,0.094
Miami Heat,2017,Over 16 ft,0.131
Miami Heat,2017,3P Corner,0.094514
Miami Heat,2017,3P Top,0.219486
Miami Heat,2018,0-3 ft,0.279
Miami Heat,2018,3-10 ft,0.163
Miami Heat,2018,10-16 ft,0.095
Miami Heat,2018,Over 16 ft,0.104
Miami Heat,2018,3P Corner,0.091648
Miami Heat,2018,3P Top,0.266352
Milwaukee Bucks,2001,0-3 ft,0.224
Milwaukee Bucks,2001,3-10 ft,0.121
Milwaukee Bucks,2001,10-16 ft,0.258
Milwaukee Bucks,2001,Over 16 ft,0.179
Milwaukee Bucks,2001,3P Corner,0.059732
Milwaukee Bucks,2001,3P Top,0.158268
Milwaukee Bucks,2002,0-3 ft,0.237
Milwaukee Bucks,2002,3-10 ft,0.126
Milwaukee Bucks,2002,10-16 ft,0.236
Milwaukee Bucks,2002,Over 16 ft,0.16
Milwaukee Bucks,2002,3P Corner,0.064588
Milwaukee Bucks,2002,3P Top,0.176412
Milwaukee Bucks,2003,0-3 ft,0.267
Milwaukee Bucks,2003,3-10 ft,0.136
Milwaukee Bucks,2003,10-16 ft,0.191
Milwaukee Bucks,2003,Over 16 ft,0.177
Milwaukee Bucks,2003,3P Corner,0.059311
Milwaukee Bucks,2003,3P Top,0.169689
Milwaukee Bucks,2004,0-3 ft,0.32
Milwaukee Bucks,2004,3-10 ft,0.152
Milwaukee Bucks,2004,10-16 ft,0.176
Milwaukee Bucks,2004,Over 16 ft,0.179
Milwaukee Bucks,2004,3P Corner,0.044892
Milwaukee Bucks,2004,3P Top,0.127108
Milwaukee Bucks,2005,0-3 ft,0.331
Milwaukee Bucks,2005,3-10 ft,0.128
Milwaukee Bucks,2005,10-16 ft,0.177
Milwaukee Bucks,2005,Over 16 ft,0.224
Milwaukee Bucks,2005,3P Corner,0.037506
Milwaukee Bucks,2005,3P Top,0.103494
Milwaukee Bucks,2006,0-3 ft,0.339
Milwaukee Bucks,2006,3-10 ft,0.134
Milwaukee Bucks,2006,10-16 ft,0.132
Milwaukee Bucks,2006,Over 16 ft,0.192
Milwaukee Bucks,2006,3P Corner,0.059885
Milwaukee Bucks,2006,3P Top,0.143115
Milwaukee Bucks,2007,0-3 ft,0.36
Milwaukee Bucks,2007,3-10 ft,0.124
Milwaukee Bucks,2007,10-16 ft,0.113
Milwaukee Bucks,2007,Over 16 ft,0.183
Milwaukee Bucks,2007,3P Corner,0.05694
Milwaukee Bucks,2007,3P Top,0.16206
Milwaukee Bucks,2008,0-3 ft,0.33
Milwaukee Bucks,2008,3-10 ft,0.149
Milwaukee Bucks,2008,10-16 ft,0.117
Milwaukee Bucks,2008,Over 16 ft,0.21
Milwaukee Bucks,2008,3P Corner,0.0507
Milwaukee Bucks,2008,3P Top,0.1443
Milwaukee Bucks,2009,0-3 ft,0.305
Milwaukee Bucks,2009,3-10 ft,0.118
Milwaukee Bucks,2009,10-16 ft,0.125
Milwaukee Bucks,2009,Over 16 ft,0.243
Milwaukee Bucks,2009,3P Corner,0.063232
Milwaukee Bucks,2009,3P Top,0.144768
Milwaukee Bucks,2010,0-3 ft,0.288
Milwaukee Bucks,2010,3-10 ft,0.13
Milwaukee Bucks,2010,10-16 ft,0.114
Milwaukee Bucks,2010,Over 16 ft,0.209
Milwaukee Bucks,2010,3P Corner,0.073815
Milwaukee Bucks,2010,3P Top,0.185185
Milwaukee Bucks,2011,0-3 ft,0.268
Milwaukee Bucks,2011,3-10 ft,0.165
Milwaukee Bucks,2011,10-16 ft,0.123
Milwaukee Bucks,2011,Over 16 ft,0.227
Milwaukee Bucks,2011,3P Corner,0.064584
Milwaukee Bucks,2011,3P Top,0.151416
Milwaukee Bucks,2012,0-3 ft,0.308
Milwaukee Bucks,2012,3-10 ft,0.146
Milwaukee Bucks,2012,10-16 ft,0.12
Milwaukee Bucks,2012,Over 16 ft,0.202
Milwaukee Bucks,2012,3P Corner,0.054208
Milwaukee Bucks,2012,3P Top,0.169792
Milwaukee Bucks,2013,0-3 ft,0.32
Milwaukee Bucks,2013,3-10 ft,0.143
Milwaukee Bucks,2013,10-16 ft,0.122
Milwaukee Bucks,2013,Over 16 ft,0.183
Milwaukee Bucks,2013,3P Corner,0.054288
Milwaukee Bucks,2013,3P Top,0.177712
Milwaukee Bucks,2014,0-3 ft,0.314
Milwaukee Bucks,2014,3-10 ft,0.168
Milwaukee Bucks,2014,10-16 ft,0.106
Milwaukee Bucks,2014,Over 16 ft,0.182
Milwaukee Bucks,2014,3P Corner,0.042042
Milwaukee Bucks,2014,3P Top,0.188958
Milwaukee Bucks,2015,0-3 ft,0.337
Milwaukee Bucks,2015,3-10 ft,0.137
Milwaukee Bucks,2015,10-16 ft,0.111
Milwaukee Bucks,2015,Over 16 ft,0.193
Milwaukee Bucks,2015,3P Corner,0.070468
Milwaukee Bucks,2015,3P Top,0.152532
Milwaukee Bucks,2016,0-3 ft,0.365
Milwaukee Bucks,2016,3-10 ft,0.19
Milwaukee Bucks,2016,10-16 ft,0.106
Milwaukee Bucks,2016,Over 16 ft,0.149
Milwaukee Bucks,2016,3P Corner,0.053109
Milwaukee Bucks,2016,3P Top,0.135891
Milwaukee Bucks,2017,0-3 ft,0.351
Milwaukee Bucks,2017,3-10 ft,0.174
Milwaukee Bucks,2017,10-16 ft,0.077
Milwaukee Bucks,2017,Over 16 ft,0.108
Milwaukee Bucks,2017,3P Corner,0.08004
Milwaukee Bucks,2017,3P Top,0.20996
Milwaukee Bucks,2018,0-3 ft,0.31
Milwaukee Bucks,2018,3-10 ft,0.152
Milwaukee Bucks,2018,10-16 ft,0.114
Milwaukee Bucks,2018,Over 16 ft,0.127
Milwaukee Bucks,2018,3P Corner,0.078111
Milwaukee Bucks,2018,3P Top,0.218889
Minnesota Timberwolves,2001,0-3 ft,0.236
Minnesota Timberwolves,2001,3-10 ft,0.164
Minnesota Timberwolves,2001,10-16 ft,0.155
Minnesota Timberwolves,2001,Over 16 ft,0.315
Minnesota Timberwolves,2001,3P Corner,0.034322
Minnesota Timberwolves,2001,3P Top,0.096678
Minnesota Timberwolves,2002,0-3 ft,0.236
Minnesota Timberwolves,2002,3-10 ft,0.175
Minnesota Timberwolves,2002,10-16 ft,0.151
Minnesota Timberwolves,2002,Over 16 ft,0.286
Minnesota Timberwolves,2002,3P Corner,0.032072
Minnesota Timberwolves,2002,3P Top,0.119928
Minnesota Timberwolves,2003,0-3 ft,0.249
Minnesota Timberwolves,2003,3-10 ft,0.15
Minnesota Timberwolves,2003,10-16 ft,0.156
Minnesota Timberwolves,2003,Over 16 ft,0.327
Minnesota Timberwolves,2003,3P Corner,0.028202
Minnesota Timberwolves,2003,3P Top,0.089798
Minnesota Timberwolves,2004,0-3 ft,0.206
Minnesota Timberwolves,2004,3-10 ft,0.147
Minnesota Timberwolves,2004,10-16 ft,0.21
Minnesota Timberwolves,2004,Over 16 ft,0.301
Minnesota Timberwolves,2004,3P Corner,0.035483
Minnesota Timberwolves,2004,3P Top,0.101517
Minnesota Timberwolves,2005,0-3 ft,0.225
Minnesota Timberwolves,2005,3-10 ft,0.138
Minnesota Timberwolves,2005,10-16 ft,0.18
Minnesota Timberwolves,2005,Over 16 ft,0.285
Minnesota Timberwolves,2005,3P Corner,0.036503
Minnesota Timberwolves,2005,3P Top,0.136497
Minnesota Timberwolves,2006,0-3 ft,0.285
Minnesota Timberwolves,2006,3-10 ft,0.118
Minnesota Timberwolves,2006,10-16 ft,0.145
Minnesota Timberwolves,2006,Over 16 ft,0.304
Minnesota Timberwolves,2006,3P Corner,0.029353
Minnesota Timberwolves,2006,3P Top,0.119647
Minnesota Timberwolves,2007,0-3 ft,0.267
Minnesota Timberwolves,2007,3-10 ft,0.127
Minnesota Timberwolves,2007,10-16 ft,0.133
Minnesota Timberwolves,2007,Over 16 ft,0.305
Minnesota Timberwolves,2007,3P Corner,0.043253
Minnesota Timberwolves,2007,3P Top,0.123747
Minnesota Timberwolves,2008,0-3 ft,0.306
Minnesota Timberwolves,2008,3-10 ft,0.181
Minnesota Timberwolves,2008,10-16 ft,0.122
Minnesota Timberwolves,2008,Over 16 ft,0.206
Minnesota Timberwolves,2008,3P Corner,0.035335
Minnesota Timberwolves,2008,3P Top,0.149665
Minnesota Timberwolves,2009,0-3 ft,0.332
Minnesota Timberwolves,2009,3-10 ft,0.137
Minnesota Timberwolves,2009,10-16 ft,0.107
Minnesota Timberwolves,2009,Over 16 ft,0.196
Minnesota Timberwolves,2009,3P Corner,0.066284
Minnesota Timberwolves,2009,3P Top,0.160716
Minnesota Timberwolves,2010,0-3 ft,0.308
Minnesota Timberwolves,2010,3-10 ft,0.166
Minnesota Timberwolves,2010,10-16 ft,0.146
Minnesota Timberwolves,2010,Over 16 ft,0.21
Minnesota Timberwolves,2010,3P Corner,0.038304
Minnesota Timberwolves,2010,3P Top,0.132696
Minnesota Timberwolves,2011,0-3 ft,0.241
Minnesota Timberwolves,2011,3-10 ft,0.233
Minnesota Timberwolves,2011,10-16 ft,0.099
Minnesota Timberwolves,2011,Over 16 ft,0.204
Minnesota Timberwolves,2011,3P Corner,0.045492
Minnesota Timberwolves,2011,3P Top,0.177508
Minnesota Timberwolves,2012,0-3 ft,0.31
Minnesota Timberwolves,2012,3-10 ft,0.157
Minnesota Timberwolves,2012,10-16 ft,0.086
Minnesota Timberwolves,2012,Over 16 ft,0.186
Minnesota Timberwolves,2012,3P Corner,0.067072
Minnesota Timberwolves,2012,3P Top,0.194928
Minnesota Timberwolves,2013,0-3 ft,0.331
Minnesota Timberwolves,2013,3-10 ft,0.139
Minnesota Timberwolves,2013,10-16 ft,0.083
Minnesota Timberwolves,2013,Over 16 ft,0.227
Minnesota Timberwolves,2013,3P Corner,0.04972
Minnesota Timberwolves,2013,3P Top,0.17028
Minnesota Timberwolves,2014,0-3 ft,0.334
Minnesota Timberwolves,2014,3-10 ft,0.157
Minnesota Timberwolves,2014,10-16 ft,0.091
Minnesota Timberwolves,2014,Over 16 ft,0.174
Minnesota Timberwolves,2014,3P Corner,0.05488
Minnesota Timberwolves,2014,3P Top,0.19012
Minnesota Timberwolves,2015,0-3 ft,0.284
Minnesota Timberwolves,2015,3-10 ft,0.176
Minnesota Timberwolves,2015,10-16 ft,0.122
Minnesota Timberwolves,2015,Over 16 ft,0.234
Minnesota Timberwolves,2015,3P Corner,0.038843
Minnesota Timberwolves,2015,3P Top,0.140157
Minnesota Timberwolves,2016,0-3 ft,0.298
Minnesota Timberwolves,2016,3-10 ft,0.16
Minnesota Timberwolves,2016,10-16 ft,0.101
Minnesota Timberwolves,2016,Over 16 ft,0.239
Minnesota Timberwolves,2016,3P Corner,0.042016
Minnesota Timberwolves,2016,3P Top,0.159984
Minnesota Timberwolves,2017,0-3 ft,0.304
Minnesota Timberwolves,2017,3-10 ft,0.164
Minnesota Timberwolves,2017,10-16 ft,0.097
Minnesota Timberwolves,2017,Over 16 ft,0.186
Minnesota Timberwolves,2017,3P Corner,0.066483
Minnesota Timberwolves,2017,3P Top,0.182517
Minnesota Timberwolves,2018,0-3 ft,0.264
Minnesota Timberwolves,2018,3-10 ft,0.196
Minnesota Timberwolves,2018,10-16 ft,0.129
Minnesota Timberwolves,2018,Over 16 ft,0.15
Minnesota Timberwolves,2018,3P Corner,0.058986
Minnesota Timberwolves,2018,3P Top,0.202014
New Orleans Pelicans,2001,0-3 ft,0.27
New Orleans Pelicans,2001,3-10 ft,0.134
New Orleans Pelicans,2001,10-16 ft,0.18
New Orleans Pelicans,2001,Over 16 ft,0.265
New Orleans Pelicans,2001,3P Corner,0.026878
New Orleans Pelicans,2001,3P Top,0.124122
New Orleans Pelicans,2002,0-3 ft,0.308
New Orleans Pelicans,2002,3-10 ft,0.131
New Orleans Pelicans,2002,10-16 ft,0.162
New Orleans Pelicans,2002,Over 16 ft,0.248
New Orleans Pelicans,2002,3P Corner,0.023103
New Orleans Pelicans,2002,3P Top,0.127897
New Orleans Pelicans,2003,0-3 ft,0.278
New Orleans Pelicans,2003,3-10 ft,0.132
New Orleans Pelicans,2003,10-16 ft,0.187
New Orleans Pelicans,2003,Over 16 ft,0.241
New Orleans Pelicans,2003,3P Corner,0.040411
New Orleans Pelicans,2003,3P Top,0.120589
New Orleans Pelicans,2004,0-3 ft,0.294
New Orleans Pelicans,2004,3-10 ft,0.115
New Orleans Pelicans,2004,10-16 ft,0.131
New Orleans Pelicans,2004,Over 16 ft,0.209
New Orleans Pelicans,2004,3P Corner,0.058464
New Orleans Pelicans,2004,3P Top,0.193536
New Orleans Pelicans,2005,0-3 ft,0.304
New Orleans Pelicans,2005,3-10 ft,0.096
New Orleans Pelicans,2005,10-16 ft,0.122
New Orleans Pelicans,2005,Over 16 ft,0.277
New Orleans Pelicans,2005,3P Corner,0.045627
New Orleans Pelicans,2005,3P Top,0.155373
New Orleans Pelicans,2006,0-3 ft,0.324
New Orleans Pelicans,2006,3-10 ft,0.133
New Orleans Pelicans,2006,10-16 ft,0.139
New Orleans Pelicans,2006,Over 16 ft,0.267
New Orleans Pelicans,2006,3P Corner,0.032292
New Orleans Pelicans,2006,3P Top,0.105708
New Orleans Pelicans,2007,0-3 ft,0.307
New Orleans Pelicans,2007,3-10 ft,0.17
New Orleans Pelicans,2007,10-16 ft,0.119
New Orleans Pelicans,2007,Over 16 ft,0.216
New Orleans Pelicans,2007,3P Corner,0.040796
New Orleans Pelicans,2007,3P Top,0.147204
New Orleans Pelicans,2008,0-3 ft,0.284
New Orleans Pelicans,2008,3-10 ft,0.137
New Orleans Pelicans,2008,10-16 ft,0.113
New Orleans Pelicans,2008,Over 16 ft,0.227
New Orleans Pelicans,2008,3P Corner,0.069071
New Orleans Pelicans,2008,3P Top,0.169929
New Orleans Pelicans,2009,0-3 ft,0.276
New Orleans Pelicans,2009,3-10 ft,0.134
New Orleans Pelicans,2009,10-16 ft,0.137
New Orleans Pelicans,2009,Over 16 ft,0.213
New Orleans Pelicans,2009,3P Corner,0.0792
New Orleans Pelicans,2009,3P Top,0.1608
New Orleans Pelicans,2010,0-3 ft,0.318
New Orleans Pelicans,2010,3-10 ft,0.121
New Orleans Pelicans,2010,10-16 ft,0.127
New Orleans Pelicans,2010,Over 16 ft,0.204
New Orleans Pelicans,2010,3P Corner,0.04669
New Orleans Pelicans,2010,3P Top,0.18331
New Orleans Pelicans,2011,0-3 ft,0.223
New Orleans Pelicans,2011,3-10 ft,0.213
New Orleans Pelicans,2011,10-16 ft,0.136
New Orleans Pelicans,2011,Over 16 ft,0.237
New Orleans Pelicans,2011,3P Corner,0.061824
New Orleans Pelicans,2011,3P Top,0.130176
New Orleans Pelicans,2012,0-3 ft,0.267
New Orleans Pelicans,2012,3-10 ft,0.207
New Orleans Pelicans,2012,10-16 ft,0.149
New Orleans Pelicans,2012,Over 16 ft,0.225
New Orleans Pelicans,2012,3P Corner,0.040432
New Orleans Pelicans,2012,3P Top,0.111568
New Orleans Pelicans,2013,0-3 ft,0.298
New Orleans Pelicans,2013,3-10 ft,0.208
New Orleans Pelicans,2013,10-16 ft,0.095
New Orleans Pelicans,2013,Over 16 ft,0.175
New Orleans Pelicans,2013,3P Corner,0.039424
New Orleans Pelicans,2013,3P Top,0.184576
New Orleans Pelicans,2014,0-3 ft,0.332
New Orleans Pelicans,2014,3-10 ft,0.183
New Orleans Pelicans,2014,10-16 ft,0.107
New Orleans Pelicans,2014,Over 16 ft,0.184
New Orleans Pelicans,2014,3P Corner,0.044583
New Orleans Pelicans,2014,3P Top,0.148417
New Orleans Pelicans,2015,0-3 ft,0.347
New Orleans Pelicans,2015,3-10 ft,0.152
New Orleans Pelicans,2015,10-16 ft,0.098
New Orleans Pelicans,2015,Over 16 ft,0.169
New Orleans Pelicans,2015,3P Corner,0.055687
New Orleans Pelicans,2015,3P Top,0.177313
New Orleans Pelicans,2016,0-3 ft,0.304
New Orleans Pelicans,2016,3-10 ft,0.144
New Orleans Pelicans,2016,10-16 ft,0.101
New Orleans Pelicans,2016,Over 16 ft,0.174
New Orleans Pelicans,2016,3P Corner,0.063433
New Orleans Pelicans,2016,3P Top,0.213567
New Orleans Pelicans,2017,0-3 ft,0.279
New Orleans Pelicans,2017,3-10 ft,0.17
New Orleans Pelicans,2017,10-16 ft,0.094
New Orleans Pelicans,2017,Over 16 ft,0.149
New Orleans Pelicans,2017,3P Corner,0.067452
New Orleans Pelicans,2017,3P Top,0.240548
New Orleans Pelicans,2018,0-3 ft,0.295
New Orleans Pelicans,2018,3-10 ft,0.179
New Orleans Pelicans,2018,10-16 ft,0.099
New Orleans Pelicans,2018,Over 16 ft,0.109
New Orleans Pelicans,2018,3P Corner,0.074327
New Orleans Pelicans,2018,3P Top,0.244673
New York Knicks,2001,0-3 ft,0.27
New York Knicks,2001,3-10 ft,0.163
New York Knicks,2001,10-16 ft,0.184
New York Knicks,2001,Over 16 ft,0.203
New York Knicks,2001,3P Corner,0.04086
New York Knicks,2001,3P Top,0.13914
New York Knicks,2002,0-3 ft,0.246
New York Knicks,2002,3-10 ft,0.159
New York Knicks,2002,10-16 ft,0.19
New York Knicks,2002,Over 16 ft,0.198
New York Knicks,2002,3P Corner,0.055826
New York Knicks,2002,3P Top,0.150174
New York Knicks,2003,0-3 ft,0.21
New York Knicks,2003,3-10 ft,0.145
New York Knicks,2003,10-16 ft,0.188
New York Knicks,2003,Over 16 ft,0.222
New York Knicks,2003,3P Corner,0.061805
New York Knicks,2003,3P Top,0.173195
New York Knicks,2004,0-3 ft,0.259
New York Knicks,2004,3-10 ft,0.156
New York Knicks,2004,10-16 ft,0.177
New York Knicks,2004,Over 16 ft,0.237
New York Knicks,2004,3P Corner,0.046341
New York Knicks,2004,3P Top,0.124659
New York Knicks,2005,0-3 ft,0.3
New York Knicks,2005,3-10 ft,0.14
New York Knicks,2005,10-16 ft,0.122
New York Knicks,2005,Over 16 ft,0.251
New York Knicks,2005,3P Corner,0.049068
New York Knicks,2005,3P Top,0.138932
New York Knicks,2006,0-3 ft,0.383
New York Knicks,2006,3-10 ft,0.161
New York Knicks,2006,10-16 ft,0.108
New York Knicks,2006,Over 16 ft,0.205
New York Knicks,2006,3P Corner,0.054102
New York Knicks,2006,3P Top,0.087898
New York Knicks,2007,0-3 ft,0.389
New York Knicks,2007,3-10 ft,0.142
New York Knicks,2007,10-16 ft,0.073
New York Knicks,2007,Over 16 ft,0.18
New York Knicks,2007,3P Corner,0.056376
New York Knicks,2007,3P Top,0.159624
New York Knicks,2008,0-3 ft,0.353
New York Knicks,2008,3-10 ft,0.137
New York Knicks,2008,10-16 ft,0.101
New York Knicks,2008,Over 16 ft,0.194
New York Knicks,2008,3P Corner,0.053535
New York Knicks,2008,3P Top,0.161465
New York Knicks,2009,0-3 ft,0.349
New York Knicks,2009,3-10 ft,0.091
New York Knicks,2009,10-16 ft,0.084
New York Knicks,2009,Over 16 ft,0.154
New York Knicks,2009,3P Corner,0.076958
New York Knicks,2009,3P Top,0.245042
New York Knicks,2010,0-3 ft,0.327
New York Knicks,2010,3-10 ft,0.087
New York Knicks,2010,10-16 ft,0.071
New York Knicks,2010,Over 16 ft,0.203
New York Knicks,2010,3P Corner,0.063648
New York Knicks,2010,3P Top,0.248352
New York Knicks,2011,0-3 ft,0.265
New York Knicks,2011,3-10 ft,0.166
New York Knicks,2011,10-16 ft,0.086
New York Knicks,2011,Over 16 ft,0.179
New York Knicks,2011,3P Corner,0.08181
New York Knicks,2011,3P Top,0.22119
New York Knicks,2012,0-3 ft,0.316
New York Knicks,2012,3-10 ft,0.13
New York Knicks,2012,10-16 ft,0.085
New York Knicks,2012,Over 16 ft,0.181
New York Knicks,2012,3P Corner,0.07056
New York Knicks,2012,3P Top,0.21744
New York Knicks,2013,0-3 ft,0.28
New York Knicks,2013,3-10 ft,0.096
New York Knicks,2013,10-16 ft,0.083
New York Knicks,2013,Over 16 ft,0.188
New York Knicks,2013,3P Corner,0.083544
New York Knicks,2013,3P Top,0.270456
New York Knicks,2014,0-3 ft,0.252
New York Knicks,2014,3-10 ft,0.112
New York Knicks,2014,10-16 ft,0.111
New York Knicks,2014,Over 16 ft,0.222
New York Knicks,2014,3P Corner,0.062514
New York Knicks,2014,3P Top,0.239486
New York Knicks,2015,0-3 ft,0.239
New York Knicks,2015,3-10 ft,0.146
New York Knicks,2015,10-16 ft,0.125
New York Knicks,2015,Over 16 ft,0.246
New York Knicks,2015,3P Corner,0.04488
New York Knicks,2015,3P Top,0.19512
New York Knicks,2016,0-3 ft,0.245
New York Knicks,2016,3-10 ft,0.154
New York Knicks,2016,10-16 ft,0.143
New York Knicks,2016,Over 16 ft,0.201
New York Knicks,2016,3P Corner,0.059136
New York Knicks,2016,3P Top,0.196864
New York Knicks,2017,0-3 ft,0.291
New York Knicks,2017,3-10 ft,0.126
New York Knicks,2017,10-16 ft,0.132
New York Knicks,2017,Over 16 ft,0.172
New York Knicks,2017,3P Corner,0.063891
New York Knicks,2017,3P Top,0.215109
New York Knicks,2018,0-3 ft,0.278
New York Knicks,2018,3-10 ft,0.156
New York Knicks,2018,10-16 ft,0.14
New York Knicks,2018,Over 16 ft,0.159
New York Knicks,2018,3P Corner,0.051604
New York Knicks,2018,3P Top,0.214396
Oklahoma City Thunder,2001,0-3 ft,0.305
Oklahoma City Thunder,2001,3-10 ft,0.226
Oklahoma City Thunder,2001,10-16 ft,0.129
Oklahoma City Thunder,2001,Over 16 ft,0.164
Oklahoma City Thunder,2001,3P Corner,0.041712
Oklahoma City Thunder,2001,3P Top,0.134288
Oklahoma City Thunder,2002,0-3 ft,0.28
Oklahoma City Thunder,2002,3-10 ft,0.19
Oklahoma City Thunder,2002,10-16 ft,0.121
Oklahoma City Thunder,2002,Over 16 ft,0.216
Oklahoma City Thunder,2002,3P Corner,0.050373
Oklahoma City Thunder,2002,3P Top,0.142627
Oklahoma City Thunder,2003,0-3 ft,0.247
Oklahoma City Thunder,2003,3-10 ft,0.177
Oklahoma City Thunder,2003,10-16 ft,0.129
Oklahoma City Thunder,2003,Over 16 ft,0.25
Oklahoma City Thunder,2003,3P Corner,0.052528
Oklahoma City Thunder,2003,3P Top,0.143472
Oklahoma City Thunder,2004,0-3 ft,0.245
Oklahoma City Thunder,2004,3-10 ft,0.158
Oklahoma City Thunder,2004,10-16 ft,0.121
Oklahoma City Thunder,2004,Over 16 ft,0.182
Oklahoma City Thunder,2004,3P Corner,0.079968
Oklahoma City Thunder,2004,3P Top,0.214032
Oklahoma City Thunder,2005,0-3 ft,0.276
Oklahoma City Thunder,2005,3-10 ft,0.16
Oklahoma City Thunder,2005,10-16 ft,0.118
Oklahoma City Thunder,2005,Over 16 ft,0.165
Oklahoma City Thunder,2005,3P Corner,0.067159
Oklahoma City Thunder,2005,3P Top,0.213841
Oklahoma City Thunder,2006,0-3 ft,0.275
Oklahoma City Thunder,2006,3-10 ft,0.173
Oklahoma City Thunder,2006,10-16 ft,0.124
Oklahoma City Thunder,2006,Over 16 ft,0.184
Oklahoma City Thunder,2006,3P Corner,0.050301
Oklahoma City Thunder,2006,3P Top,0.192699
Oklahoma City Thunder,2007,0-3 ft,0.291
Oklahoma City Thunder,2007,3-10 ft,0.183
Oklahoma City Thunder,2007,10-16 ft,0.137
Oklahoma City Thunder,2007,Over 16 ft,0.17
Oklahoma City Thunder,2007,3P Corner,0.051465
Oklahoma City Thunder,2007,3P Top,0.167535
Oklahoma City Thunder,2008,0-3 ft,0.287
Oklahoma City Thunder,2008,3-10 ft,0.159
Oklahoma City Thunder,2008,10-16 ft,0.144
Oklahoma City Thunder,2008,Over 16 ft,0.277
Oklahoma City Thunder,2008,3P Corner,0.032562
Oklahoma City Thunder,2008,3P Top,0.101438
Oklahoma City Thunder,2009,0-3 ft,0.338
Oklahoma City Thunder,2009,3-10 ft,0.134
Oklahoma City Thunder,2009,10-16 ft,0.138
Oklahoma City Thunder,2009,Over 16 ft,0.248
Oklahoma City Thunder,2009,3P Corner,0.030597
Oklahoma City Thunder,2009,3P Top,0.110403
Oklahoma City Thunder,2010,0-3 ft,0.332
Oklahoma City Thunder,2010,3-10 ft,0.125
Oklahoma City Thunder,2010,10-16 ft,0.135
Oklahoma City Thunder,2010,Over 16 ft,0.223
Oklahoma City Thunder,2010,3P Corner,0.04292
Oklahoma City Thunder,2010,3P Top,0.14208
Oklahoma City Thunder,2011,0-3 ft,0.284
Oklahoma City Thunder,2011,3-10 ft,0.159
Oklahoma City Thunder,2011,10-16 ft,0.126
Oklahoma City Thunder,2011,Over 16 ft,0.218
Oklahoma City Thunder,2011,3P Corner,0.039644
Oklahoma City Thunder,2011,3P Top,0.172356
Oklahoma City Thunder,2012,0-3 ft,0.294
Oklahoma City Thunder,2012,3-10 ft,0.148
Oklahoma City Thunder,2012,10-16 ft,0.13
Oklahoma City Thunder,2012,Over 16 ft,0.175
Oklahoma City Thunder,2012,3P Corner,0.046116
Oklahoma City Thunder,2012,3P Top,0.205884
Oklahoma City Thunder,2013,0-3 ft,0.294
Oklahoma City Thunder,2013,3-10 ft,0.146
Oklahoma City Thunder,2013,10-16 ft,0.13
Oklahoma City Thunder,2013,Over 16 ft,0.186
Oklahoma City Thunder,2013,3P Corner,0.061488
Oklahoma City Thunder,2013,3P Top,0.182512
Oklahoma City Thunder,2014,0-3 ft,0.282
Oklahoma City Thunder,2014,3-10 ft,0.149
Oklahoma City Thunder,2014,10-16 ft,0.131
Oklahoma City Thunder,2014,Over 16 ft,0.167
Oklahoma City Thunder,2014,3P Corner,0.064769
Oklahoma City Thunder,2014,3P Top,0.206231
Oklahoma City Thunder,2015,0-3 ft,0.302
Oklahoma City Thunder,2015,3-10 ft,0.158
Oklahoma City Thunder,2015,10-16 ft,0.113
Oklahoma City Thunder,2015,Over 16 ft,0.165
Oklahoma City Thunder,2015,3P Corner,0.064714
Oklahoma City Thunder,2015,3P Top,0.197286
Oklahoma City Thunder,2016,0-3 ft,0.33
Oklahoma City Thunder,2016,3-10 ft,0.126
Oklahoma City Thunder,2016,10-16 ft,0.122
Oklahoma City Thunder,2016,Over 16 ft,0.146
Oklahoma City Thunder,2016,3P Corner,0.080025
Oklahoma City Thunder,2016,3P Top,0.194975
Oklahoma City Thunder,2017,0-3 ft,0.346
Oklahoma City Thunder,2017,3-10 ft,0.146
Oklahoma City Thunder,2017,10-16 ft,0.104
Oklahoma City Thunder,2017,Over 16 ft,0.109
Oklahoma City Thunder,2017,3P Corner,0.07434
Oklahoma City Thunder,2017,3P Top,0.22066
Oklahoma City Thunder,2018,0-3 ft,0.315
Oklahoma City Thunder,2018,3-10 ft,0.096
Oklahoma City Thunder,2018,10-16 ft,0.105
Oklahoma City Thunder,2018,Over 16 ft,0.138
Oklahoma City Thunder,2018,3P Corner,0.082455
Oklahoma City Thunder,2018,3P Top,0.262545
Orlando Magic,2001,0-3 ft,0.29
Orlando Magic,2001,3-10 ft,0.117
Orlando Magic,2001,10-16 ft,0.137
Orlando Magic,2001,Over 16 ft,0.26
Orlando Magic,2001,3P Corner,0.031164
Orlando Magic,2001,3P Top,0.164836
Orlando Magic,2002,0-3 ft,0.294
Orlando Magic,2002,3-10 ft,0.113
Orlando Magic,2002,10-16 ft,0.109
Orlando Magic,2002,Over 16 ft,0.242
Orlando Magic,2002,3P Corner,0.046272
Orlando Magic,2002,3P Top,0.194728
Orlando Magic,2003,0-3 ft,0.292
Orlando Magic,2003,3-10 ft,0.08
Orlando Magic,2003,10-16 ft,0.098
Orlando Magic,2003,Over 16 ft,0.295
Orlando Magic,2003,3P Corner,0.04418
