Team,year,Distance,Frequency
Boston Celtics,2018,Over 16 ft,0.12
Boston Celtics,2018,3P Corner,0.076041
Boston Celtics,2018,3P Top,0.280959
Brooklyn Nets,2001,0-3 ft,0.322
Brooklyn Nets,2001,3-10 ft,0.137
Brooklyn Nets,2001,10-16 ft,0.132
Brooklyn Nets,2001,Over 16 ft,0.243
Brooklyn Nets,2001,3P Corner,0.032835
Brooklyn Nets,2001,3P Top,0.132165
Brooklyn Nets,2002,0-3 ft,0.327
Brooklyn Nets,2002,3-10 ft,0.135
Brooklyn Nets,2002,10-16 ft,0.133
Brooklyn Nets,2002,Over 16 ft,0.23
Brooklyn Nets,2002,3P Corner,0.033775
Brooklyn Nets,2002,3P Top,0.141225
Brooklyn Nets,2003,0-3 ft,0.34
Brooklyn Nets,2003,3-10 ft,0.133
Brooklyn Nets,2003,10-16 ft,0.112
Brooklyn Nets,2003,Over 16 ft,0.258
Brooklyn Nets,2003,3P Corner,0.03002
Brooklyn Nets,2003,3P Top,0.12798
Brooklyn Nets,2004,0-3 ft,0.332
Brooklyn Nets,2004,3-10 ft,0.111
Brooklyn Nets,2004,10-16 ft,0.113
Brooklyn Nets,2004,Over 16 ft,0.268
Brooklyn Nets,2004,3P Corner,0.03256
Brooklyn Nets,2004,3P Top,0.14344
Brooklyn Nets,2005,0-3 ft,0.276
Brooklyn Nets,2005,3-10 ft,0.118
Brooklyn Nets,2005,10-16 ft,0.119
Brooklyn Nets,2005,Over 16 ft,0.299
Brooklyn Nets,2005,3P Corner,0.052173
Brooklyn Nets,2005,3P Top,0.134827
Brooklyn Nets,2006,0-3 ft,0.299
Brooklyn Nets,2006,3-10 ft,0.114
Brooklyn Nets,2006,10-16 ft,0.102
Brooklyn Nets,2006,Over 16 ft,0.257
Brooklyn Nets,2006,3P Corner,0.061601
Brooklyn Nets,2006,3P Top,0.167399
Brooklyn Nets,2007,0-3 ft,0.332
Brooklyn Nets,2007,3-10 ft,0.089
Brooklyn Nets,2007,10-16 ft,0.077
Brooklyn Nets,2007,Over 16 ft,0.24
Brooklyn Nets,2007,3P Corner,0.071799
Brooklyn Nets,2007,3P Top,0.191201
Brooklyn Nets,2008,0-3 ft,0.347
Brooklyn Nets,2008,3-10 ft,0.085
Brooklyn Nets,2008,10-16 ft,0.09
Brooklyn Nets,2008,Over 16 ft,0.256
Brooklyn Nets,2008,3P Corner,0.057498
Brooklyn Nets,2008,3P Top,0.164502
Brooklyn Nets,2009,0-3 ft,0.33
Brooklyn Nets,2009,3-10 ft,0.088
Brooklyn Nets,2009,10-16 ft,0.102
Brooklyn Nets,2009,Over 16 ft,0.215
Brooklyn Nets,2009,3P Corner,0.081355
Brooklyn Nets,2009,3P Top,0.183645
Brooklyn Nets,2010,0-3 ft,0.346
Brooklyn Nets,2010,3-10 ft,0.126
Brooklyn Nets,2010,10-16 ft,0.119
Brooklyn Nets,2010,Over 16 ft,0.229
Brooklyn Nets,2010,3P Corner,0.057558
Brooklyn Nets,2010,3P Top,0.123442
Brooklyn Nets,2011,0-3 ft,0.236
Brooklyn Nets,2011,3-10 ft,0.213
Brooklyn Nets,2011,10-16 ft,0.123
Brooklyn Nets,2011,Over 16 ft,0.227
Brooklyn Nets,2011,3P Corner,0.054672
Brooklyn Nets,2011,3P Top,0.146328
Brooklyn Nets,2012,0-3 ft,0.255
Brooklyn Nets,2012,3-10 ft,0.134
Brooklyn Nets,2012,10-16 ft,0.126
Brooklyn Nets,2012,Over 16 ft,0.207
Brooklyn Nets,2012,3P Corner,0.074226
Brooklyn Nets,2012,3P Top,0.203774
Brooklyn Nets,2013,0-3 ft,0.272
Brooklyn Nets,2013,3-10 ft,0.203
Brooklyn Nets,2013,10-16 ft,0.102
Brooklyn Nets,2013,Over 16 ft,0.154
Brooklyn Nets,2013,3P Corner,0.093881
Brooklyn Nets,2013,3P Top,0.175119
Brooklyn Nets,2014,0-3 ft,0.256
Brooklyn Nets,2014,3-10 ft,0.171
Brooklyn Nets,2014,10-16 ft,0.112
Brooklyn Nets,2014,Over 16 ft,0.16
Brooklyn Nets,2014,3P Corner,0.073143
Brooklyn Nets,2014,3P Top,0.227857
Brooklyn Nets,2015,0-3 ft,0.268
Brooklyn Nets,2015,3-10 ft,0.213
Brooklyn Nets,2015,10-16 ft,0.116
Brooklyn Nets,2015,Over 16 ft,0.164
Brooklyn Nets,2015,3P Corner,0.06816
Brooklyn Nets,2015,3P Top,0.17184
Brooklyn Nets,2016,0-3 ft,0.284
Brooklyn Nets,2016,3-10 ft,0.211
Brooklyn Nets,2016,10-16 ft,0.106
Brooklyn Nets,2016,Over 16 ft,0.181
Brooklyn Nets,2016,3P Corner,0.067362
Brooklyn Nets,2016,3P Top,0.150638
Brooklyn Nets,2017,0-3 ft,0.309
Brooklyn Nets,2017,3-10 ft,0.173
Brooklyn Nets,2017,10-16 ft,0.077
Brooklyn Nets,2017,Over 16 ft,0.07
Brooklyn Nets,2017,3P Corner,0.079765
Brooklyn Nets,2017,3P Top,0.291235
Brooklyn Nets,2018,0-3 ft,0.269
Brooklyn Nets,2018,3-10 ft,0.175
Brooklyn Nets,2018,10-16 ft,0.083
Brooklyn Nets,2018,Over 16 ft,0.062
Brooklyn Nets,2018,3P Corner,0.082611
Brooklyn Nets,2018,3P Top,0.328389
Charlotte Hornets,2005,0-3 ft,0.284
Charlotte Hornets,2005,3-10 ft,0.149
Charlotte Hornets,2005,10-16 ft,0.145
Charlotte Hornets,2005,Over 16 ft,0.294
Charlotte Hornets,2005,3P Corner,0.044032
Charlotte Hornets,2005,3P Top,0.083968
Charlotte Hornets,2006,0-3 ft,0.328
Charlotte Hornets,2006,3-10 ft,0.12
Charlotte Hornets,2006,10-16 ft,0.107
Charlotte Hornets,2006,Over 16 ft,0.261
Charlotte Hornets,2006,3P Corner,0.05796
Charlotte Hornets,2006,3P Top,0.12604
Charlotte Hornets,2007,0-3 ft,0.335
